,train_step,reward_mean,reward_std
0,0,764156.0372,0.0
1,1,764195.8442,0.0
2,2,764250.8426,0.0
3,3,764123.1244,0.0
4,4,764124.7674,0.0
5,5,763820.0782,0.0
6,6,763694.5778,0.0
7,7,763682.247,0.0
8,8,764036.4588,0.0
9,9,764128.3682,0.0
10,10,763936.315,0.0
11,11,764279.9788,0.0
12,12,764064.6008,0.0
13,13,764072.2734,0.0
14,14,764074.7682,0.0
15,15,764135.0986,0.0
16,16,764102.1388,0.0
17,17,763993.5266,0.0
18,18,764373.9854,0.0
19,19,764081.2254,0.0
20,20,764080.6522,0.0
21,21,764112.3548,0.0
22,22,764052.872,0.0
23,23,764131.1416,0.0
24,24,764069.0558,0.0
25,25,763951.4634,0.0
26,26,763809.5102,0.0
27,27,763973.8354,0.0
28,28,764084.1886,0.0
29,29,763971.8572,0.0
30,30,764135.0092,0.0
31,31,764212.3042,0.0
32,32,764039.713,0.0
33,33,764047.4988,0.0
34,34,763829.14,0.0
35,35,763683.7618,0.0
36,36,763671.9868,0.0
37,37,763769.1282,0.0
38,38,764061.1356,0.0
39,39,763797.5044,0.0
40,40,764013.1894,0.0
41,41,763893.3204,0.0
42,42,763962.5838,0.0
43,43,763928.576,0.0
44,44,763894.1156,0.0
45,45,763742.3312,0.0
46,46,763895.0658,0.0
47,47,763832.0154,0.0
48,48,763895.4066,0.0
49,49,763970.9784,0.0
50,50,763781.842,0.0
51,51,763650.4988,0.0
52,52,764088.1942,0.0
53,53,763987.0348,0.0
54,54,763939.512,0.0
55,55,763853.134,0.0
56,56,763841.6378,0.0
57,57,764056.961,0.0
58,58,764033.5044,0.0
59,59,763972.3682,0.0
60,60,763902.9596,0.0
61,61,763800.8878,0.0
62,62,763693.2006,0.0
63,63,764016.1664,0.0
64,64,763994.6802,0.0
65,65,763925.1318,0.0
66,66,763749.751,0.0
67,67,763855.999,0.0
68,68,764093.5938,0.0
69,69,764114.145,0.0
