,eval_episode,Agent,reward
0,0,PPO,32.21530390100013
1,1,PPO,33.51187974300009
2,2,PPO,33.78399175400024
3,3,PPO,33.38428779400028
4,4,PPO,34.00366349500021
5,5,PPO,34.4320873780002
6,6,PPO,34.40806340600023
7,7,PPO,34.568983379000095
8,8,PPO,34.3919273540003
9,9,PPO,34.367063352000336
10,10,PPO,34.501055388000246
11,11,PPO,33.66162377500021
12,12,PPO,33.16507204300018
13,13,PPO,33.111568082000204
14,14,PPO,33.081560080000095
15,15,PPO,34.018503831000245
16,16,PPO,33.990455533000144
17,17,PPO,32.88285579300016
18,18,PPO,34.29667156300033
19,19,PPO,33.573151644000234
20,0,MaxCQI,28.131936287999757
21,1,MaxCQI,28.553440473999782
22,2,MaxCQI,27.56276851399977
23,3,MaxCQI,26.81336044199987
24,4,MaxCQI,28.74916842999983
25,5,MaxCQI,25.170048412999897
26,6,MaxCQI,25.143416432999896
27,7,MaxCQI,27.966448455999796
28,8,MaxCQI,29.397800516999745
29,9,MaxCQI,26.885824448999834
30,10,MaxCQI,28.875752453999812
31,11,MaxCQI,29.200704566999732
32,12,MaxCQI,27.87180860599977
33,13,MaxCQI,27.851232516999765
34,14,MaxCQI,28.753920606999692
35,15,MaxCQI,26.99252046999983
36,16,MaxCQI,27.464376501999848
37,17,MaxCQI,29.905856588999743
38,18,MaxCQI,26.36683243599983
39,19,MaxCQI,24.256040191999944
40,0,MaxWeight,32.792575249000194
41,1,MaxWeight,32.73604719900014
42,2,MaxWeight,33.07156726200018
43,3,MaxWeight,33.00435917500017
44,4,MaxWeight,33.03191919400017
45,5,MaxWeight,32.88449519500015
46,6,MaxWeight,32.61088716900017
47,7,MaxWeight,32.78515122000017
48,8,MaxWeight,33.072231194000125
49,9,MaxWeight,33.164663215000125
50,10,MaxWeight,32.981231264000186
51,11,MaxWeight,32.698855239000146
52,12,MaxWeight,32.7753832690001
53,13,MaxWeight,33.12971921700017
54,14,MaxWeight,33.013783234000186
55,15,MaxWeight,33.150255263000126
56,16,MaxWeight,33.00935118600014
57,17,MaxWeight,33.0384071990002
58,18,MaxWeight,32.98983925100017
59,19,MaxWeight,32.78388731400013
