,train_step,reward_mean,reward_std
0,0,757592.0352,0.0
1,1,757440.2126,0.0
2,2,757381.4328,0.0
3,3,757970.6036,0.0
4,4,755304.1504,0.0
5,5,758181.4574,0.0
6,6,757654.9382,0.0
7,7,757522.6684,0.0
8,8,758825.4686,0.0
9,9,758297.726,0.0
10,10,758051.634,0.0
11,11,757870.8128,0.0
12,12,758207.2614,0.0
13,13,757344.162,0.0
14,14,758377.6392,0.0
15,15,733989.3742,0.0
16,16,732008.3514,0.0
17,17,705314.26,0.0
18,18,731082.2636,0.0
19,19,715037.5722,0.0
20,20,668150.6862,0.0
21,21,757168.7344,0.0
22,22,757934.0024,0.0
23,23,757907.4694,0.0
24,24,730754.3494,0.0
25,25,753611.505,0.0
26,26,683987.3888,0.0
27,27,735125.6774,0.0
28,28,758181.051,0.0
29,29,757868.917,0.0
30,30,756730.564,0.0
31,31,757737.9704,0.0
32,32,752412.6598,0.0
33,33,755960.6712,0.0
34,34,756991.4624,0.0
35,35,758073.5448,0.0
36,36,756515.6452,0.0
37,37,701358.2248,0.0
38,38,754394.3938,0.0
39,39,691621.6736,0.0
40,40,758567.7236,0.0
41,41,756617.7404,0.0
42,42,739472.7178,0.0
43,43,756282.1958,0.0
44,44,750654.1782,0.0
45,45,735016.6644,0.0
46,46,753987.5812,0.0
47,47,757783.7564,0.0
48,48,757910.8622,0.0
49,49,755923.1554,0.0
50,50,759168.9974,0.0
51,51,758211.9136,0.0
52,52,757388.455,0.0
53,53,758426.9574,0.0
54,54,757844.3866,0.0
55,55,758099.132,0.0
56,56,751771.5964,0.0
57,57,758022.4636,0.0
58,58,751917.181,0.0
59,59,739345.1212,0.0
60,60,740372.351,0.0
61,61,755855.2552,0.0
62,62,757315.328,0.0
63,63,758622.6888,0.0
64,64,760310.3886,0.0
65,65,758871.1492,0.0
66,66,759738.563,0.0
67,67,757024.8522,0.0
68,68,755747.7858,0.0
69,69,755955.434,0.0
