,train_step,reward_mean,reward_std
0,0,756024.172,0.0
1,1,757047.4588,0.0
2,2,757807.416,0.0
3,3,758795.1516,0.0
4,4,748726.6636,0.0
5,5,758249.837,0.0
6,6,758068.4842,0.0
7,7,758122.979,0.0
8,8,758156.0584,0.0
9,9,758330.1,0.0
10,10,758874.0096,0.0
11,11,757709.9776,0.0
12,12,754228.7052,0.0
13,13,756191.6206,0.0
14,14,759759.9422,0.0
15,15,757998.8358,0.0
16,16,753437.0876,0.0
17,17,740001.0506,0.0
18,18,755636.3192,0.0
19,19,757831.5626,0.0
20,20,757199.937,0.0
21,21,749858.9696,0.0
22,22,742624.1244,0.0
23,23,757686.7202,0.0
24,24,746437.3852,0.0
25,25,758413.1136,0.0
26,26,757912.0376,0.0
27,27,749489.0732,0.0
28,28,757352.0504,0.0
29,29,758476.3304,0.0
30,30,754785.323,0.0
31,31,758142.8782,0.0
32,32,758190.4784,0.0
33,33,757988.626,0.0
34,34,758306.3396,0.0
35,35,758496.2568,0.0
36,36,757250.3958,0.0
37,37,756953.7492,0.0
38,38,758686.5182,0.0
39,39,758598.7608,0.0
40,40,758005.589,0.0
41,41,756924.4194,0.0
42,42,757881.1398,0.0
43,43,758727.2856,0.0
44,44,757395.4562,0.0
45,45,750458.6954,0.0
46,46,758737.4288,0.0
47,47,758475.4538,0.0
48,48,758351.8244,0.0
49,49,758729.1716,0.0
